player_id,game_id,name,team,pos,hits,blocks
8476967,2019020125,B. Kulak,MTL,D,1.0,3.0
8477369,2019020125,C. Soucy,MIN,D,0.0,1.0
8477451,2019020125,R. Hartman,MIN,RW,0.0,2.0
8477476,2019020125,A. Lehkonen,MTL,LW,1.0,1.0
8477942,2019020125,K. Fiala,MIN,LW,1.0,1.0
8477987,2019020125,R. Donato,MIN,C,0.0,1.0
8478413,2019020125,J. Greenway,MIN,LW,0.0,1.0
8479316,2019020125,L. Kunin,MIN,C,1.0,1.0
8479376,2019020125,V. Mete,MTL,D,0.0,3.0
8479985,2019020125,C. Fleury,MTL,D,4.0,0.0
8480018,2019020125,N. Suzuki,MTL,C,0.0,1.0
8480829,2019020125,J. Kotkaniemi,MTL,C,1.0,0.0
8468674,2019020130,D. Engelland,VGK,D,1.0,1.0
8471669,2019020130,P. Stastny,VGK,C,0.0,1.0
8471817,2019020130,R. Reaves,VGK,RW,1.0,1.0
8473485,2019020130,C. Stewart,PHI,RW,2.0,0.0
8473512,2019020130,C. Giroux,PHI,C,2.0,1.0
8474027,2019020130,J. Braun,PHI,D,1.0,2.0
8474037,2019020130,J. van Riemsdyk,PHI,LW,0.0,1.0
8474157,2019020130,M. Pacioretty,VGK,LW,0.0,2.0
8474207,2019020130,N. Holden,VGK,D,0.0,1.0
8475188,2019020130,B. McNabb,VGK,D,0.0,1.0
8475204,2019020130,B. Pirri,VGK,RW,1.0,0.0
8475750,2019020130,J. Merrill,VGK,D,0.0,1.0
8475763,2019020130,K. Hayes,PHI,C,2.0,0.0
8476539,2019020130,J. Marchessault,VGK,C,2.0,0.0
8476872,2019020130,S. Laughton,PHI,C,4.0,0.0
8476987,2019020130,J. Bischoff,VGK,D,1.0,3.0
8477447,2019020130,S. Theodore,VGK,D,0.0,1.0
8477462,2019020130,R. Hagg,PHI,D,1.0,1.0
8477478,2019020130,W. Carrier,VGK,LW,4.0,0.0
8477948,2019020130,T. Sanheim,PHI,D,1.0,1.0
8478439,2019020130,T. Konecny,PHI,C,0.0,1.0
8478500,2019020130,I. Provorov,PHI,D,1.0,2.0
8479996,2019020130,C. Glass,VGK,C,1.0,0.0
8480797,2019020130,J. Farabee,PHI,LW,1.0,0.0
8471686,2019020147,M. Staal,NYR,D,0.0,2.0
8471743,2019020147,V. Sobotka,BUF,LW,3.0,0.0
8473449,2019020147,K. Okposo,BUF,RW,1.0,0.0
8474090,2019020147,B. Smith,NYR,D,1.0,1.0
8474618,2019020147,M. Scandella,BUF,D,1.0,0.0
8475149,2019020147,M. Johansson,BUF,LW,1.0,0.0
8475184,2019020147,C. Kreider,NYR,LW,4.0,2.0
8475728,2019020147,J. Larsson,BUF,C,4.0,0.0
8475735,2019020147,G. McKegg,NYR,C,1.0,1.0
8475784,2019020147,J. Skinner,BUF,LW,1.0,0.0
8475855,2019020147,J. Fast,NYR,RW,1.0,0.0
8476458,2019020147,R. Strome,NYR,C,4.0,0.0
8476459,2019020147,M. Zibanejad,NYR,C,1.0,1.0
8476525,2019020147,C. Miller,BUF,D,1.0,1.0
8476869,2019020147,B. Skjei,NYR,D,2.0,1.0
8476885,2019020147,J. Trouba,NYR,D,6.0,3.0
