player_id,name,nationality,pos,birth_date,height_in,height_cm,weight_lb,weight_kg,team_id,team_id2,team_id3,birth_city,birth_state_prov,hand,team
8465009,Z. Chara,SVK,D,1977-03-18 00:00:00,"6' 9""",205.74,250.0,113.398,6,0,0,Trencin,,L,BOS
8466138,J. Thornton,CAN,C,1979-07-02 01:00:00,"6' 4""",193.04,220.0,99.79024,28,0,0,London,ON,L,SJS
8466139,P. Marleau,CAN,C,1979-09-15 01:00:00,"6' 2""",187.96,215.0,97.52228,28,5,0,Aneroid,SK,L,SJS
8468493,R. Hainsey,USA,D,1981-03-24 00:00:00,"6' 3""",190.5,210.0,95.25431999999999,9,0,0,Bolton,CT,L,OTT
8468508,J. Williams,CAN,RW,1981-10-04 01:00:00,"6' 1""",185.42,188.0,85.275296,12,0,0,Cobourg,ON,R,CAR
8468674,D. Engelland,CAN,D,1982-04-03 01:00:00,"6' 2""",187.96,214.0,97.068688,54,0,0,Edmonton,AB,R,VGK
8469454,I. Kovalchuk,RUS,RW,1983-04-15 01:00:00,"6' 3""",190.5,230.0,104.32616,26,8,15,Tver,,R,LAK
8469455,J. Spezza,CAN,C,1983-06-13 01:00:00,"6' 3""",190.5,214.0,97.068688,10,0,0,Toronto,ON,R,TOR
8469459,M. Koivu,FIN,C,1983-03-12 00:00:00,"6' 3""",190.5,215.0,97.52228,30,0,0,Turku,,L,MIN
8469465,D. Hamhuis,CAN,D,1982-12-13 00:00:00,"6' 1""",185.42,204.0,92.532768,18,0,0,Smithers,BC,L,NSH
8470047,V. Filppula,FIN,C,1984-03-20 00:00:00,"6' 0""",182.88,196.0,88.904032,17,0,0,Vantaa,,L,DET
8470110,T. Daley,CAN,D,1983-10-09 01:00:00,"5' 11""",180.34,195.0,88.45044,17,0,0,Toronto,ON,L,DET
8470144,F. Nielsen,DNK,C,1984-04-24 01:00:00,"6' 1""",185.42,188.0,85.275296,17,0,0,Herning,,L,DET
8470151,J. Bouwmeester,CAN,D,1983-09-27 01:00:00,"6' 4""",193.04,206.0,93.439952,19,0,0,Edmonton,AB,L,STL
8470187,J. Boychuk,CAN,D,1984-01-19 00:00:00,"6' 2""",187.96,227.0,102.965384,2,0,0,Edmonton,AB,R,NYI
8470257,A. Steen,SWE,LW,1984-03-01 00:00:00,"6' 0""",182.88,211.0,95.707912,19,0,0,Winnipeg,MB,L,STL
8470281,D. Keith,CAN,D,1983-07-16 01:00:00,"6' 1""",185.42,192.0,87.089664,16,0,0,Winnipeg,MB,L,CHI
8470318,J. Ericsson,SWE,D,1984-03-02 00:00:00,"6' 4""",193.04,220.0,99.79024,17,0,0,Karlskrona,,L,DET
8470595,E. Staal,CAN,C,1984-10-29 00:00:00,"6' 4""",193.04,208.0,94.347136,30,0,0,Thunder Bay,ON,L,MIN
8470600,R. Suter,USA,D,1985-01-21 00:00:00,"6' 2""",187.96,202.0,91.625584,30,0,0,Madison,WI,L,MIN
8470601,B. Coburn,CAN,D,1985-02-27 00:00:00,"6' 5""",195.58,223.0,101.151016,14,0,0,Shaunavon,SK,L,TBL
8470604,J. Carter,CAN,C,1985-01-01 00:00:00,"6' 3""",190.5,217.0,98.429464,26,0,0,London,ON,R,LAK
8470606,D. Brown,USA,RW,1984-11-04 00:00:00,"6' 0""",182.88,216.0,97.975872,26,0,0,Ithaca,NY,R,LAK
8470607,B. Seabrook,CAN,D,1985-04-20 01:00:00,"6' 3""",190.5,220.0,99.79024,16,0,0,Richmond,BC,R,CHI
8470610,Z. Parise,USA,LW,1984-07-28 01:00:00,"5' 11""",180.34,195.0,88.45044,30,0,0,Minneapolis,MN,L,MIN
8470612,R. Getzlaf,CAN,C,1985-05-10 01:00:00,"6' 4""",193.04,223.0,101.151016,24,0,0,Regina,SK,R,ANA
8470613,B. Burns,CAN,D,1985-03-09 00:00:00,"6' 5""",195.58,230.0,104.32616,28,0,0,Barrie,ON,R,SJS
8470619,B. Boyle,USA,C,1984-12-18 00:00:00,"6' 6""",198.12,245.0,111.13004,13,0,0,Hingham,MA,L,FLA
8470621,C. Perry,CAN,RW,1985-05-16 01:00:00,"6' 3""",190.5,213.0,96.615096,25,0,0,Peterborough,ON,R,DAL
8470626,L. Eriksson,SWE,LW,1985-07-17 01:00:00,"6' 2""",187.96,196.0,88.904032,23,0,0,Gothenburg,,L,VAN
8470638,P. Bergeron,CAN,C,1985-07-24 01:00:00,"6' 1""",185.42,195.0,88.45044,6,0,0,Ancienne-Lorette,QC,R,BOS
8470642,S. Weber,CAN,D,1985-08-14 01:00:00,"6' 4""",193.04,230.0,104.32616,8,0,0,Sicamous,BC,R,MTL
8470655,D. Backes,USA,RW,1984-05-01 01:00:00,"6' 3""",190.5,221.0,100.243832,6,0,0,Minneapolis,MN,R,BOS
8470755,B. Richardson,CAN,C,1985-02-04 00:00:00,"6' 0""",182.88,190.0,86.18248,53,0,0,Belleville,ON,L,ARI
8470775,N. Thompson,USA,C,1984-10-05 01:00:00,"6' 0""",182.88,212.0,96.161504,8,4,0,Anchorage,AK,L,MTL
8470794,J. Pavelski,USA,C,1984-07-11 01:00:00,"5' 11""",180.34,195.0,88.45044,25,0,0,Plover,WI,R,DAL
8470966,M. Giordano,CAN,D,1983-10-03 01:00:00,"6' 0""",182.88,198.0,89.811216,20,0,0,Toronto,ON,L,CGY
8471214,A. Ovechkin,RUS,LW,1985-09-17 01:00:00,"6' 3""",190.5,235.0,106.59412,15,0,0,Moscow,,R,WSH
8471215,E. Malkin,RUS,C,1986-07-31 01:00:00,"6' 3""",190.5,195.0,88.45044,5,0,0,Magnitogorsk,,L,PIT
8471217,A. Ladd,CAN,LW,1985-12-12 00:00:00,"6' 3""",190.5,200.0,90.7184,2,0,0,Maple Ridge,BC,L,NYI
8471218,B. Wheeler,USA,RW,1986-08-31 01:00:00,"6' 5""",195.58,225.0,102.0582,52,0,0,Plymouth,MN,R,WPG
8471228,A. Radulov,RUS,RW,1986-07-05 01:00:00,"6' 1""",185.42,201.0,91.171992,25,0,0,Nizhny Tagil,,L,DAL
8471233,T. Zajac,CAN,C,1985-05-13 01:00:00,"6' 2""",187.96,185.0,83.91452,1,0,0,Winnipeg,MB,R,NJD
8471242,M. Green,CAN,D,1985-10-12 01:00:00,"6' 1""",185.42,207.0,93.893544,17,0,0,Calgary,AB,R,DET
8471260,B. Comeau,CAN,LW,1986-02-18 00:00:00,"6' 1""",185.42,202.0,91.625584,25,0,0,Meadow Lake,SK,R,DAL
8471262,C. Soderberg,SWE,C,1985-10-12 01:00:00,"6' 3""",190.5,210.0,95.25431999999999,53,0,0,Malmö,,L,ARI
8471274,A. Goligoski,USA,D,1985-07-30 01:00:00,"5' 11""",180.34,185.0,83.91452,53,0,0,Grand Rapids,MN,L,ARI
