name,pos,dist,hand,st_x,st_y,goal,team,event,period,period_time_remaining,game_id,player_id,shot_id,period_type,miss_loc,assist,assist2,blocker,goalie,scorer,date_time,shot_type,missed_net,empty,gw
E. Malkin,C,35.35533905932738,L,64.0,25.0,True,PIT,Goal,2,850.0,2019020007,8471215.0,2019020007_188,REGULAR,,8471724.0,8471675.0,,8475622.0,8471215.0,2019-10-04 01:16:21,snap,False,False,False
S. Reinhart,C,8.54400374531753,R,81.0,3.0,False,BUF,Missed Shot,2,583.0,2019020007,8477933.0,2019020007_206,REGULAR,wide of net,,,,,,2019-10-04 01:25:41,,True,False,False
R. Dahlin,D,47.51841748206689,L,42.0,7.0,False,BUF,Shot,2,553.0,2019020007,8480839.0,2019020007_207,REGULAR,,,,,8476899.0,,2019-10-04 01:26:41,wrist,False,False,False
C. Mittelstadt,C,17.029386365926403,L,78.0,-13.0,False,BUF,Shot,2,541.0,2019020007,8479999.0,2019020007_210,REGULAR,,,,,8476899.0,,2019-10-04 01:27:23,wrist,False,False,False
B. Tanev,LW,159.05030650709227,L,-67.0,-31.0,False,PIT,Shot,2,534.0,2019020007,8479293.0,2019020007_213,REGULAR,,,,,8475622.0,,2019-10-04 01:27:57,wrist,False,False,False
J. Eichel,C,6.082762530298219,R,83.0,1.0,False,BUF,Shot,2,470.0,2019020007,8478403.0,2019020007_215,REGULAR,,,,,8476899.0,,2019-10-04 01:29:01,wrist,False,False,False
R. Dahlin,D,45.27692569068709,L,44.0,5.0,False,BUF,Shot,2,383.0,2019020007,8480839.0,2019020007_221,REGULAR,,,,,8476899.0,,2019-10-04 01:33:17,wrist,False,False,False
V. Olofsson,RW,17.0,L,72.0,0.0,False,BUF,Shot,2,381.0,2019020007,8478109.0,2019020007_222,REGULAR,,,,,8476899.0,,2019-10-04 01:33:25,wrist,False,False,False
C. Miller,D,54.74486277268398,R,35.0,-9.0,False,BUF,Shot,2,358.0,2019020007,8476525.0,2019020007_225,REGULAR,,,,,8476899.0,,2019-10-04 01:34:18,snap,False,False,False
C. Sheary,LW,16.1245154965971,L,73.0,-2.0,True,BUF,Goal,2,357.0,2019020007,8477839.0,2019020007_226,REGULAR,,8479999.0,8476525.0,,8476899.0,8477839.0,2019-10-04 01:34:29,wrist,False,False,True
V. Olofsson,RW,8.94427190999916,L,81.0,4.0,False,BUF,Shot,2,269.0,2019020007,8478109.0,2019020007_234,REGULAR,,,,,8476899.0,,2019-10-04 01:39:42,wrist,False,False,False
C. Miller,D,68.24221567329127,R,33.0,-39.0,False,BUF,Missed Shot,2,210.0,2019020007,8476525.0,2019020007_236,REGULAR,over net,,,,,,2019-10-04 01:40:41,,True,False,False
K. Letang,D,89.73850901368932,R,2.0,-22.0,False,PIT,Shot,2,129.0,2019020007,8471724.0,2019020007_246,REGULAR,,,,,8475622.0,,2019-10-04 01:43:09,wrist,False,False,False
P. Hornqvist,RW,12.206555615733702,R,79.0,7.0,False,PIT,Missed Shot,2,111.0,2019020007,8471887.0,2019020007_249,REGULAR,wide of net,,,,,,2019-10-04 01:43:53,,True,False,False
J. Schultz,D,53.823786563191554,R,45.0,-31.0,False,PIT,Shot,2,76.0,2019020007,8474602.0,2019020007_256,REGULAR,,,,,8475622.0,,2019-10-04 01:45:02,slap,False,False,False
J. Eichel,C,36.23534186398688,R,66.0,-28.0,False,BUF,Shot,2,70.0,2019020007,8478403.0,2019020007_257,REGULAR,,,,,8476899.0,,2019-10-04 01:45:10,snap,False,False,False
R. Dahlin,D,9.486832980505138,L,80.0,-3.0,True,BUF,Goal,2,44.0,2019020007,8480839.0,2019020007_261,REGULAR,,8477933.0,8478109.0,,8476899.0,8480839.0,2019-10-04 01:46:11,wrist,False,False,False
R. Ristolainen,D,9.486832980505138,R,86.0,9.0,False,BUF,Shot,2,17.0,2019020007,8477499.0,2019020007_263,REGULAR,,,,,8476899.0,,2019-10-04 01:47:14,backhand,False,False,False
K. Okposo,RW,20.615528128088304,R,73.0,13.0,False,BUF,Missed Shot,2,13.0,2019020007,8473449.0,2019020007_264,REGULAR,wide of net,,,,,,2019-10-04 01:47:24,,True,False,False
S. Crosby,C,75.02666192761077,L,19.0,-27.0,False,PIT,Shot,3,1183.0,2019020007,8471675.0,2019020007_273,REGULAR,,,,,8475622.0,,2019-10-04 02:06:57,backhand,False,False,False
